"","Sim.Day","D1.Con.(g/d)","D2.Con.(g/d)","D3.Con.(g/d)","D4.Con.(g/d)","D5.Con.(g/d)","D6.Con.(g/d)","D7.Con.(g/d)","D8.Con.(g/d)","Total.Con.(g/d)","W.Gain.(g/d)","Daily.Weight.(g)","NA"
"34",34,0.0120981092217593,0.00696557803677052,0.0133201404562805,0.0294509527519595,0.00146643748142537,0.000855421864164797,0.000122203123452114,0.000977624987616913,0,0.065256467923429,0.0161370547424831,0.600209358846924
"35",35,0.0122749186114078,0.00706737738232571,0.0135148093802369,0.0298813675287806,0.00148786892259488,0.000867923538180347,0.000123989076882907,0.000991912615063256,0,0.0662101670554723,0.0164371794541043,0.616646538301028
"36",36,0.0126303172787785,0.00727200085747855,0.0139061069028976,0.0307465299412689,0.00153094754894285,0.000893052736883328,0.000127578962411904,0.00102063169929523,0,0.0681271659279569,0.0166925759347155,0.633339114235743
"37",37,0.0130239449089816,0.00749863494759551,0.0143394948997879,0.0317047547784301,0.00157865998896747,0.000920884993564357,0.000131554999080623,0.00105243999264498,0,0.0702503695090526,0.0168648867312206,0.650204000966964
"38",38,0.0134647022521842,0.00775240432701518,0.0148247731867483,0.032777709522994,0.00163208512147687,0.000952049654194843,0.000136007093456406,0.00108805674765125,0,0.0726277879057211,0.0168136394146617,0.667017640381626
"39",39,0.0138418897608294,0.00796957289259874,0.0152400604437414,0.0336959134581806,0.00167780481949447,0.000978719478038438,0.000139817068291206,0.00111853654632965,0,0.0746623144675039,0.0166498371102024,0.683667477491828
"40",40,0.0140240625225077,0.00807446024023171,0.0154406344944782,0.0341393845244884,0.00169988636636456,0.000991600380379328,0.000141657197197047,0.00113325757757638,0,0.0756449433032233,0.0171797012941724,0.700847178786001
"41",41,0.0141888781259974,0.00816935407254398,0.0156220981387244,0.034540602306721,0.00171986401527241,0.00100325400890891,0.000143322001272701,0.00114657601018161,0,0.0765339486796224,0.0177015805447659,0.718548759330766
"42",42,0.0142619497663343,0.00821142562304098,0.0157025507528327,0.0347184837746118,0.0017287211837981,0.00100842069054889,0.000144060098649841,0.00115248078919873,0,0.0769280926790154,0.0182912399023099,0.736839999233076
"43",43,0.0143943711416728,0.00828766823308437,0.0158483480246701,0.0350408428802339,0.0017447722595967,0.00101778381809808,0.000145397688299726,0.00116318150639781,0,0.0776423655520535,0.0186959924016546,0.755535991634731
"44",44,0.0146694807054269,0.00844606464857916,0.0161512464332478,0.0357105540404838,0.00177811887338508,0.00103723600947463,0.00014817657278209,0.00118541258225672,0,0.0791262898656362,0.0189897470059711,0.774525738640702
"45",45,0.0149726872577828,0.00862063811811742,0.0164850799100842,0.0364486629204613,0.00181487118276156,0.00105867485661091,0.00015123926523013,0.00120991412184104,0,0.0807617676328894,0.019265698396494,0.793791437037196
"46",46,0.0154530878232683,0.00889723238309388,0.0170140057852146,0.0376181228829056,0.00187310155433555,0.0010926425733624,0.000156091796194629,0.00124873436955703,0,0.083353019167932,0.0193063916395536,0.81309782867675
"47",47,0.015896694325637,0.00915264218748802,0.0175024210251964,0.0386980134593791,0.00192687203947116,0.00112400868969151,0.00016057266995593,0.00128458135964744,0,0.0857458057564666,0.0191773470204086,0.832275175697158
"48",48,0.0162610036509677,0.0093623960414663,0.0179035292722777,0.039584867473568,0.00197103074557185,0.00114976793491691,0.000164252562130987,0.0013140204970479,0,0.0877108681779474,0.0190753301395304,0.851350505836689
"49",49,0.0165717821229705,0.00954132910110423,0.0182456995091291,0.0403414090064231,0.00200870086339036,0.00117174217031104,0.000167391738615863,0.00133913390892691,0,0.0893871884208711,0.0190926138158908,0.870443119652579
"50",50,0.0168254557859732,0.00968738363434824,0.0185249967744554,0.0409589378224197,0.00203944918617857,0.0011896786919375,0.000169954098848214,0.00135963279078572,0,0.0907554887849466,0.0194583033337489,0.889901422986328
"51",51,0.0170313575826704,0.00980593315365875,0.0187516967324351,0.0414601735093291,0.00206440697971762,0.00120423740483528,0.000172033914976469,0.00137627131981175,0,0.0918661105974345,0.020063889898282,0.90996531288461
"52",52,0.017366835497125,0.00999908710440534,0.0191210613049155,0.0422768419677488,0.00210507096934849,0.00122795806545328,0.000175422580779041,0.00140338064623233,0,0.0936756581360078,0.0200548761596948,0.930020189044305
"53",53,0.0176685780701254,0.0101728176767389,0.0194532829256936,0.0430113870191941,0.00214164582668186,0.00124929339889775,0.000178470485556822,0.00142776388445458,0,0.095303239287343,0.0201607009638976,0.950180890008203
"54",54,0.0178773580912946,0.0102930243555939,0.01968315183789,0.0435196292929495,0.0021669524959145,0.00126405562261679,0.000180579374659541,0.00144463499727633,0,0.0964293860681952,0.020818084506559,0.970998974514762
"55",55,0.0182248176084687,0.0104930768048759,0.0200657082759908,0.0443654650872824,0.0022090688010265,0.00128862346726546,0.000184089066752209,0.00147271253401767,0,0.0983035616456796,0.0207365144091117,0.991735488923873
"56",56,0.0185504756205498,0.0106805768724378,0.020424261036767,0.0451582285308335,0.00224854249946058,0.00131164979135201,0.000187378541621716,0.00149902833297373,0,0.100060141225996,0.0204623509964652,1.01219783992034
"57",57,0.0188270176379321,0.0108397980339609,0.0207287365912586,0.0458314267751681,0.00228206274399177,0.00133120326732853,0.000190171895332647,0.00152137516266118,0,0.101551792107634,0.0207290699365592,1.0329269098569
"58",58,0.0190970307553435,0.0110170509351106,0.021373378509098,0.045997378685136,0.00243472772537087,0.00136700909314045,0.000192562130747524,0.00154288131821867,4.76854447694534e-06,0.103026787696643,0.021187707229899,1.0541146170868
"59",59,0.0193818011478309,0.0112034582993309,0.0220447547493212,0.0461844212515189,0.00259280226062031,0.00140436294708618,0.000195091250610145,0.00156557052898306,9.68104820379119e-06,0.104581943483505,0.0213757824799784,1.07549039956678
"60",60,0.0196253854415172,0.0113666696231399,0.0226790285582689,0.0462595412792995,0.00274873102310917,0.00143920133099685,0.000197196347115535,0.0015849241395728,1.47067252970285e-05,0.105915384468317,0.0221742294176795,1.09766462898445
"61",61,0.0197507473419648,0.0114618380913656,0.0231835301808273,0.0460463130885211,0.0028904651025626,0.00146569941141064,0.000198106897659897,0.0015947240722531,1.97377819478397e-05,0.106611161968513,0.0233109003735803,1.12097552935803
"62",62,0.0200231185180462,0.0116427821864823,0.0238679657155011,0.0461653875589288,0.00305625957484253,0.0015034618288709,0.000200484845158756,0.001616387250365,2.5016978189902e-05,0.108100864456385,0.0237614402076192,1.14473696956565
"63",63,0.0203286147544284,0.0118436561205478,0.0246025465264822,0.0463457568093026,0.00323079070901431,0.00154422439884393,0.000203184115924513,0.00164071487581764,3.04838968430829e-05,0.109769972207204,0.0241208600960042,1.16885782966166
"64",64,0.0207823161557627,0.0121317523010267,0.0255304620112495,0.0468442463245138,0.00343369963304745,0.00159691732431312,0.000207351133581727,0.00167699149230894,3.63648473102589e-05,0.112240101223114,0.0238828641482242,1.19274069380988
"65",65,0.0211752758666606,0.0123853672181898,0.026399330620315,0.0471837932512306,0.00363194962055929,0.00164569216243638,0.000210896998067977,0.00170835263153889,4.23532939901372e-05,0.114383011662989,0.0232405675459448,1.21598126135583
"66",66,0.0214643305233103,0.0125789973681827,0.02715123796448,0.0472740219165549,0.00381672086921843,0.00168699696053911,0.000213395802217487,0.00173131971086697,4.83065862541767e-05,0.115965327701624,0.0234391481110087,1.23942040946684
"67",67,0.0217657416470137,0.0127805536183873,0.0279296898766873,0.047376026149631,0.00400745784014559,0.0017297980928636,0.00021600685861098,0.00175527362921118,5.44375206466859e-05,0.117614985233197,0.0239555824291324,1.26337599189597
"68",68,0.0220580788874962,0.0129774706251971,0.0287074783136853,0.0474427479246127,0.00420031539933942,0.00177240643152419,0.000218517206136355,0.00177848589766205,6.0696497142429e-05,0.119216197182796,0.0240840996359633,1.28746009153193
"69",69,0.0223541562496407,0.0131772711493858,0.029501022992626,0.0475021113701567,0.00439764483856365,0.00181583923551544,0.000221054035590648,0.00180198990802279,6.71152465952263e-05,0.120838205026097,0.0249930126584251,1.31245310419036
"70",70,0.0226757175949449,0.013392810852088,0.0303396275712668,0.0475994616170489,0.00460393369095733,0.00186189202750394,0.000223831775755769,0.00182753790569785,7.37673993033888e-05,0.122598580434567,0.0249651806604294,1.33741828485079
"71",71,0.0229785728270007,0.0135980273838561,0.031164762148741,0.0476411951734796,0.00481041549941054,0.00190696503498537,0.000226413648596845,0.00185156787562569,8.05173737018614e-05,0.124258436965398,0.0251655701926264,1.36258385504341
"72",72,0.0232901353996121,0.0138091106858772,0.0320130880023347,0.0476848811925324,0.00502265013008172,0.00195330832878971,0.000229070268867206,0.00187628920677756,8.74541116798169e-05,0.125965987326552,0.025584679893919,1.38816853493733
