"","Sim.Day","D1.Con.(g/d)","D2.Con.(g/d)","D3.Con.(g/d)","D4.Con.(g/d)","D5.Con.(g/d)","D6.Con.(g/d)","D7.Con.(g/d)","D9.Con.(g/d)","Total.Con.(g/d)","W.Gain.(g/d)","Daily.Weight.(g)"
"65",65,0.0437202085877005,0.0365135807985191,0.0411018004909645,0.0290667320830317,0.00480441852612093,0.000960883705224186,0.0365135807985191,0,0.192921425916386,0.0596766023694265,2.32644489656695
"66",66,0.0445197949162196,0.0371813671827768,0.041853499506402,0.0295983251915526,0.00489228515562852,0.000978457031125704,0.0371813671827768,0,0.196449710424263,0.0606463075039322,2.38709120407088
"67",67,0.0452239795866636,0.0377694774569938,0.0425155104795502,0.0300664919230017,0.00496966808644655,0.00099393361728931,0.0377694774569938,0,0.199557022011261,0.0617059560891656,2.44879716016004
"68",68,0.0464001811853499,0.0387517996712813,0.0436212692352383,0.0308484721067436,0.00509892100937911,0.00101978420187582,0.0387517996712813,0,0.204747173131618,0.0622985369262692,2.51109569708631
"69",69,0.0475726142879911,0.0397309745701904,0.0447234851905235,0.0316279468617963,0.00522775981186715,0.00104555196237343,0.0397309745701904,0,0.209920695245526,0.0626640650992277,2.57375976218554
"70",70,0.0487200301800835,0.0406892559745753,0.0458021822187488,0.03239078929555,0.00535384947033885,0.00107076989406777,0.0406892559745753,0,0.214983825481456,0.0627079529472502,2.63646771513279
"71",71,0.049691752596194,0.0415008043660522,0.0467157080725758,0.0330368245282389,0.00546063215342791,0.00109212643068558,0.0415008043660522,0,0.219271684120898,0.0629944998856626,2.69946221501845
"72",72,0.0503717393891688,0.0420687054239212,0.0473549703817955,0.033488903659832,0.00553535597683173,0.00110707119536635,0.0420687054239212,0,0.222272219249678,0.0647132986266979,2.76417551364515
"73",73,0.0511033250390763,0.0426797000326351,0.0480427412867359,0.0339752875259793,0.00561575000429409,0.00112315000085882,0.0426797000326351,0,0.225500441422429,0.0660405613686777,2.83021607501383
"74",74,0.0515056255481032,0.0430156872709434,0.0484209479740684,0.0342427510512115,0.00565995885143991,0.00113199177028798,0.0430156872709434,0,0.22727564767957,0.0678670070997097,2.89808308211354
"75",75,0.0523688688896683,0.0437366377540087,0.0492324915770453,0.0348166655804938,0.00575482075710641,0.00115096415142128,0.0437366377540087,0,0.231084827501608,0.0688446463144518,2.96692772842799
"76",76,0.0535951563968624,0.0447607899578191,0.0503853365906766,0.0356319446374744,0.00588957762602883,0.00117791552520577,0.0447607899578191,0,0.236495989573187,0.0692562617349968,3.03618399016299
"77",77,0.0546030414654767,0.0456025401250135,0.051332859311775,0.0363020220732016,0.00600033422697546,0.00120006684539509,0.0456025401250135,0,0.240943420884199,0.0699571568981937,3.10614114706118
"78",78,0.0558128305147767,0.0466129133969564,0.0524701939619686,0.0371063323752087,0.00613327807854689,0.00122665561570938,0.0466129133969564,0,0.24628178124405,0.0699822758510898,3.17612342291227
"79",79,0.0568765017153907,0.0475012541798867,0.0534701617774908,0.0378134983931993,0.0062501650236693,0.00125003300473386,0.0475012541798867,0,0.250975376525441,0.0700806487436046,3.24620407165588
"80",80,0.0578272344344418,0.0482952727144788,0.0543639550095219,0.0384455789371838,0.00635464114664195,0.00127092822932839,0.0482952727144788,0,0.255170615243407,0.0696942586689153,3.31589833032479
"81",81,0.0587048275207959,0.0490282075997856,0.0551889889494954,0.0390290336814083,0.00645107994734021,0.00129021598946804,0.0490282075997856,0,0.259043115285446,0.070320127049318,3.38621845737411
"82",82,0.0596398550597097,0.0498091097201971,0.0560680175863534,0.0396506728693674,0.00655383022634172,0.00131076604526834,0.0498091097201971,0,0.263169052738752,0.0718904113383144,3.45810886871242
"83",83,0.0605076643681727,0.0505338735382541,0.0568838536999688,0.0402276230140049,0.00664919388661237,0.00132983877732247,0.0505338735382541,0,0.26699838051692,0.0733972035558521,3.53150607226828
"84",84,0.061376734584802,0.051259690422472,0.0577008752058221,0.040805411454731,0.00674469610822,0.001348939221644,0.051259690422472,0,0.270833272225574,0.0746526495319896,3.60615872180027
"85",85,0.0619883950884324,0.0517705277661633,0.0582759032946746,0.0412120648664853,0.00681191154817938,0.00136238230963588,0.0517705277661633,0,0.273532308217143,0.076749942046691,3.68290866384696
"86",86,0.062712556016894,0.0523753215086148,0.0589566941455525,0.0416935125167263,0.00689148967218615,0.00137829793443723,0.0523753215086148,0,0.276727767786635,0.0781948128325878,3.76110347667954
"87",87,0.0639638606042575,0.0534203670980612,0.0601330579636728,0.0425254238083251,0.00702899567079753,0.00140579913415951,0.0534203670980612,0,0.282249321160875,0.0783921462555915,3.83949562293514
"88",88,0.0652073426388815,0.0544588795665384,0.0613020677225968,0.0433521343917839,0.00716564204822873,0.00143312840964575,0.0544588795665384,0,0.287736356446625,0.0781893259489081,3.91768494888404
"89",89,0.0660677737031241,0.0551774813344773,0.062110967475849,0.0439241792202089,0.00726019491243121,0.00145203898248624,0.0551774813344773,0,0.291533126708675,0.079519603448755,3.9972045523328
"90",90,0.066928680312868,0.0558964802612964,0.0629203142941302,0.0444965402080057,0.0073548000343811,0.00147096000687622,0.0558964802612964,0,0.295331995380573,0.0807915639657643,4.07799611629856
"91",91,0.0678816549001841,0.0566923711254285,0.0638162151286895,0.0451301112248477,0.00745952251650374,0.00149190450330075,0.0566923711254285,0,0.299537126650208,0.081751604890928,4.15974772118949
"92",92,0.0689557273747766,0.0575893986866266,0.0648259612847487,0.0458441923755383,0.00757755245876666,0.00151551049175333,0.0575893986866266,0,0.304276618981775,0.0823167653408338,4.24206448653032
"93",93,0.0698308393821541,0.0583202614620188,0.0656486627378382,0.0464259976112124,0.00767371861342352,0.0015347437226847,0.0583202614620188,0,0.308138170922022,0.0835637074399829,4.32562819397031
"94",94,0.070893967164058,0.0592081484007517,0.0666481196800566,0.0471328023453352,0.00779054584220417,0.00155810916844083,0.0592081484007517,0,0.312829368293708,0.0842122159244235,4.40984040989473
"95",95,0.0719250184808412,0.0600692462037795,0.0676174212201754,0.0478182815174824,0.00790384818470782,0.00158076963694156,0.0600692462037795,0,0.317379023856943,0.084959966244481,4.49480037613921
"96",96,0.072903568500675,0.0608864967697945,0.0685373657717883,0.048468855981218,0.00801138115392032,0.00160227623078406,0.0608864967697945,0,0.32169701023567,0.0859032748424988,4.58070365098171
"97",97,0.0740907415534465,0.0618779819567246,0.0696534388999708,0.0492581303734452,0.00814183973114796,0.00162836794622959,0.0618779819567246,0,0.326935574404246,0.0860110198010496,4.66671467078276
"98",98,0.0752401910683385,0.0628379617713596,0.0707340477571027,0.0500223248311481,0.00826815286465257,0.00165363057293051,0.0628379617713596,0,0.332007678280124,0.0857490429744089,4.75246371375717
"99",99,0.076074254607583,0.0635345423096298,0.0715181591393266,0.0505768396017448,0.00835980819863549,0.0016719616397271,0.0635345423096298,0,0.335688098216208,0.0845646096568431,4.83702832341401
"100",100,0.0769903728115103,0.0642996520184042,0.0723794109233483,0.0511859071988613,0.00846048052873739,0.00169209610574748,0.0642996520184042,0,0.33973059563145,0.0850903360415575,4.92211865945557
"101",101,0.0782169308988882,0.0653240302012693,0.0735325103120866,0.0520013661470631,0.00859526713174595,0.00171905342634919,0.0653240302012693,0,0.345142951675259,0.0874952056008654,5.00961386505644
"102",102,0.0787797234856289,0.0657940547792066,0.0740615971889621,0.0523755304492368,0.00865711247094823,0.00173142249418965,0.0657940547792066,0,0.347626351270926,0.0860238759009548,5.09563774095739
"103",103,0.0801491060381742,0.0669377149329806,0.0753489672699538,0.0532859441242807,0.00880759407012903,0.00176151881402581,0.0669377149329806,0,0.353668939886031,0.0883101398692309,5.18394788082662
"104",104,0.0804859199473006,0.0672190100658774,0.0756656093570501,0.0535098698550735,0.00884460658761545,0.00176892131752309,0.0672190100658774,0,0.355155177525698,0.0868436308281507,5.27079151165477
"105",105,0.0813758768694753,0.0679622707920892,0.0765022666613583,0.0541015445121237,0.00894240405159068,0.00178848081031814,0.0679622707920892,0,0.359082234691624,0.0873764339670252,5.3581679456218
"106",106,0.0822125474797396,0.0686610286643979,0.0772888289768321,0.0546577925552115,0.00903434587689446,0.00180686917537889,0.0686610286643979,0,0.362774158686697,0.0877970727095718,5.44596501833137
"107",107,0.0834939493117825,0.0697312104142359,0.0784934875123405,0.0555097135534378,0.00917515926503104,0.00183503185300621,0.0697312104142359,0,0.368428520287321,0.0891768129965305,5.5351418313279
"108",108,0.0848452214214147,0.0708597453629397,0.0797638317868354,0.0564080867691823,0.00932365070564996,0.00186473014112999,0.0708597453629397,0,0.374391194085374,0.0908693992619375,5.62601123058984
"109",109,0.0858628585665081,0.0717096401214793,0.0807205225314809,0.0570846477282829,0.00943547896335253,0.00188709579267051,0.0717096401214793,0,0.378881657773421,0.0916302219274903,5.71764145251733
"110",110,0.0871603584864157,0.0727932664282153,0.0819403150386027,0.0579472713014082,0.00957806137213358,0.00191561227442672,0.0727932664282153,0,0.384607054398024,0.0937749837685925,5.81141643628592
"111",111,0.0881622683695231,0.0736300263305907,0.0828822204287109,0.0586133762236939,0.00968816135928824,0.00193763227185765,0.0736300263305907,0,0.389028119382219,0.094243735495598,5.90566017178152
"112",112,0.0890787409350548,0.0743954319897161,0.0837438053515816,0.0592226794128661,0.00978887263022579,0.00195777452604516,0.0743954319897161,0,0.393072180466717,0.0943403755936685,6.00000054737519
