"","Sim.Day","D1.Con.(g/d)","D2.Con.(g/d)","D3.Con.(g/d)","D4.Con.(g/d)","D5.Con.(g/d)","D6.Con.(g/d)","D7.Con.(g/d)","D9.Con.(g/d)","Total.Con.(g/d)","W.Gain.(g/d)","Daily.Weight.(g)","NA"
"39",39,0.018635041107111,0.0155633310345103,0.0175189864473994,0.0123892306261562,0.00204780671506714,0.000409561343013428,0.0155633310345103,0,0.000102390335753357,0.082229678643521,0.0239419462795467,0.846248746840704
"40",40,0.0189255204582156,0.0158059291738944,0.0177920689582456,0.0125823515134291,0.00207972752288084,0.000415945504576167,0.0158059291738944,0,0.000103986376144041,0.08351145868128,0.024779364231137,0.871028111071841
"41",41,0.019109652949131,0.0159597101553182,0.0179651737340457,0.0127047692683783,0.00209996186254187,0.000419992372508374,0.0159597101553182,0,0.000104998093127093,0.0843239685903687,0.0256973101149735,0.896725421186814
"42",42,0.0195027763246741,0.0162880329744531,0.0183347529074271,0.0129661315125581,0.00214316223348067,0.000428632446696135,0.0162880329744531,0,0.000107158111674033,0.0860586794854164,0.0261995655598966,0.922924986746711
"43",43,0.0198553160509432,0.0165824617568317,0.0186661789907493,0.0132005123195831,0.00218190286274101,0.000436380572548202,0.0165824617568317,0,0.00010909514313705,0.0876143094533652,0.0267602351823584,0.949685221929069
"44",44,0.020416983330224,0.0170515465175497,0.0191942079549523,0.0135739284777863,0.00224362454178285,0.000448724908356571,0.0170515465175497,0,0.000112181227089142,0.0900927434752904,0.0270402809374154,0.976725502866485
"45",45,0.0209777378293308,0.0175198689563642,0.0197213788054862,0.013946737787632,0.00230524591531108,0.000461049183062215,0.0175198689563642,0,0.000115262295765553,0.0925671497293162,0.0272053484671755,1.00393085133366
"46",46,0.0215277389392213,0.0179792105426463,0.0202384402884657,0.0143123978661856,0.00236568559771662,0.000473137119543324,0.0179792105426463,0,0.00011828427988583,0.0949941051763108,0.0272074877793181,1.03113833911298
"47",47,0.0219996225423392,0.0183733111342613,0.0206820627307375,0.0146261226792475,0.00241754093871859,0.000483508187743718,0.0183733111342613,0,0.000120877046935929,0.097076356394245,0.0273485568048224,1.0584868959178
"48",48,0.0223421691652844,0.0186593940281496,0.0210040941987921,0.014853859719777,0.00245518342475653,0.000491036684951306,0.0186593940281496,0,0.000122759171237826,0.0985878904210984,0.0282544419562407,1.08674133787404
"49",49,0.0227103063225673,0.0189668492364298,0.0213501835812706,0.0150986102474211,0.00249563805742497,0.000499127611484995,0.0189668492364298,0,0.000124781902871248,0.1002123461959,0.0289613396731823,1.11570267754722
"50",50,0.0229337738056045,0.0191534814200653,0.0215602675721919,0.0152471792883414,0.0025201949236928,0.00050403898473856,0.0191534814200653,0,0.000126009746184639,0.101198427160884,0.0299661052060779,1.1456687827533
"51",51,0.0233656621397391,0.0195141793694525,0.0219662900665349,0.0155343138401562,0.00256765518019111,0.000513531036038222,0.0195141793694525,0,0.000128382759009555,0.103104193760574,0.0304927803880321,1.17616156314133
"52",52,0.0239612225432318,0.0200115704756661,0.0225261822920163,0.0159302633391816,0.00263310137837712,0.000526620275675424,0.0200115704756661,0,0.000131655068918855,0.105732185848733,0.0306906401123598,1.20685220325369
"53",53,0.0244593890302031,0.0204276216076421,0.0229945135333392,0.0162614619376625,0.00268784494837396,0.000537568989674792,0.0204276216076421,0,0.000134392247418697,0.107930413901956,0.0310614314483069,1.237913634702
"54",54,0.0250490700918173,0.020920102494265,0.0235488785313733,0.016653502643461,0.00275264506503487,0.000550529013006974,0.020920102494265,0,0.000137632253251743,0.110532462586475,0.0310585548959963,1.268972189598
"55",55,0.0255727526315979,0.0213574637362796,0.0240411976662989,0.0170016652111173,0.00281019259687889,0.000562038519375778,0.0213574637362796,0,0.000140509629843944,0.112843283727672,0.0311061794497319,1.30007836904773
"56",56,0.0260453552174359,0.0217521647969794,0.0244854960313367,0.0173158680291744,0.00286212694697097,0.000572425389394195,0.0217521647969794,0,0.000143106347348548,0.114928707555619,0.030906898367956,1.33098526741568
"57",57,0.0264838406559673,0.0221183724159726,0.0248977205287692,0.0176073885679782,0.0029103121599964,0.00058206243199928,0.0221183724159726,0,0.000145515607999819,0.116863584784655,0.0312468687880786,1.36223213620376
"58",58,0.0269490032275561,0.0225068598383985,0.0253350244628288,0.0179166450029357,0.00296142892610507,0.000592285785221013,0.0225068598383985,0,0.000148071446305253,0.118916178527749,0.0320845559974549,1.39431669220122
"59",59,0.0273862023654391,0.0228719931843227,0.0257460396963001,0.0182073103638359,0.00300947278741089,0.000601894557482177,0.0228719931843227,0,0.000150473639370544,0.120845379778484,0.0329020501194632,1.42721874232068
"60",60,0.027826326127909,0.023239569073858,0.0261598043982704,0.0184999201180054,0.00305783803603395,0.00061156760720679,0.023239569073858,0,0.000152891901801697,0.122787486336943,0.0335917473009779,1.46081048962166
"61",61,0.028151456298065,0.0235111063588235,0.0264654624868073,0.018716078088274,0.00309356662616099,0.000618713325232198,0.0235111063588235,0,0.000154678331308049,0.124222167873495,0.0347646878341457,1.4955751774558
"62",62,0.0285311622553935,0.0238282234220869,0.0268224278126254,0.0189685199610034,0.00313529255553775,0.00062705851110755,0.0238282234220869,0,0.000156764627776887,0.125897672567618,0.0355863086797638,1.53116148613557
"63",63,0.0291533677096772,0.0243478675377524,0.0274073693138778,0.0193821840267634,0.0032036667812832,0.00064073335625664,0.0243478675377524,0,0.000160183339064159,0.128643239602427,0.0356868211875326,1.5668483073231
"64",64,0.029772114716285,0.0248646232795347,0.0279890594942657,0.0197935487948928,0.00327166095783352,0.000654332191566703,0.0248646232795347,0,0.000163583047891675,0.131373545761805,0.0355698931826975,1.6024182005058
"65",65,0.0302150420821422,0.0252345406400309,0.0284054598915084,0.0200880224831825,0.0033203342947409,0.00066406685894818,0.0252345406400309,0,0.000166016714737044,0.133328023605321,0.0363212694448948,1.63873946995069
